Species,Crop,      Plant genotype,meanPD,SE,min,max,Number of entries
Foeniculum vulgare,Fennel,var. Jupiter,0.87,NA,0.87,0.87,1
Fragaria × ananassa,Strawberry,cv. “Honeoye”,0.42,NA,0.42,0.42,1
Fragaria × ananassa,Strawberry,var. Jewel,0.60,0.11,0.49,0.71,2
Glycine max,Soybean,var. BRS-113,0.37,NA,0.37,0.37,1
Glycine max,Soybean,cv. “BRS Carnaúba”,0.06,NA,0.06,0.06,1
Glycine max,Soybean,var. IRAT 278,0.27,0.01,0.26,0.28,2
Glycine max,Soybean,var. Nidera A 4990 RG,0.08,0.08,0.00,0.15,2
Gossypium hirsutum,Cottonseed,cv. “CNPA-7MH”,0.27,NA,0.27,0.27,1
Gossypium hirsutum,Cottonseed,var. FK37,0.37,NA,0.37,0.37,1
Helianthus annuus,Sunflower,clone NDSH-1,0.53,NA,0.53,0.53,1
Helianthus annuus,Sunflower,cv. “5009”,0.48,NA,0.48,0.48,1
Helianthus annuus,Sunflower,cv. “9530”,0.08,NA,0.08,0.08,1
Helianthus annuus,Sunflower,cv. “9592”,0.54,NA,0.54,0.54,1
Helianthus annuus,Sunflower,cv. “Hysun 30”,0.93,NA,0.93,0.93,1
Helianthus annuus,Sunflower,cv. “Jaguar II”,0.31,NA,0.31,0.31,1
Helianthus annuus,Sunflower,cv. “Royal Hybrid 843”,0.61,NA,0.61,0.61,1
Hylocereus undatus,White-fleshed pitaya,cv. “VN White”,0.22,NA,0.22,0.22,1
Hylocereus spp.,Red-peel pitaya,cv. “Chaozhou 5”,1.00,NA,1.00,1.00,1
Hylocereus spp.,Red-peel pitaya,cv. “F11”,1.00,NA,1.00,1.00,1
Hylocereus spp.,Red-peel pitaya,cv. “Orejona”,1.00,NA,1.00,1.00,1
Linum usitatissimum,Linseed,cv. “Antares”,0.03,0.03,0.00,0.04,2
Litchi chinensis,Lychee,cv. “Ajhauli”,0.39,NA,0.39,0.39,1
Litchi chinensis,Lychee,cv. “Dehradoon”,0.14,NA,0.14,0.14,1
Litchi chinensis,Lychee,cv. “Dehra Rose”,1.00,NA,1.00,1.00,1
Litchi chinensis,Lychee,cv. “Deshi”,1.00,NA,1.00,1.00,1
Litchi chinensis,Lychee,cv. “Ellaichi”,1.00,NA,1.00,1.00,1
Litchi chinensis,Lychee,cv. “Late Large Red”,1.00,NA,1.00,1.00,1
Litchi chinensis,Lychee,cv. “Rose Scented”,0.17,NA,0.17,0.17,1
Litchi chinensis,Lychee,cv. “Shahi”,0.78,0.22,0.56,1.00,2
Litchi chinensis,Lychee,cv. “Trikolia”,1.00,NA,1.00,1.00,1
Lonicera caerulea,Honeysuckle,cv. “Gerda”,0.65,NA,0.65,0.65,1
Lonicera caerulea,Honeysuckle,cv. “Viola”,0.62,NA,0.62,0.62,1
Luffa acutangula,Chinese Okra,cv. “Arka sujath”,1.00,NA,1.00,1.00,1
Luffa acutangula,Chinese Okra,cv. “Arka sumeet”,1.00,NA,1.00,1.00,1
Luffa aegyptiaca,Smoth gourd,cv. “C-2016”,1.00,NA,1.00,1.00,1
Luffa aegyptiaca,Smoth gourd,cv. “Hirat”,1.00,NA,1.00,1.00,1
Luffa aegyptiaca,Smoth gourd,cv. “Pusa Chickni”,1.00,NA,1.00,1.00,1
Luffa aegyptiaca,Smoth gourd,cv. “Ragini”,1.00,NA,1.00,1.00,1
Macadamia spp.,Macadamia,cv. “246”,0.69,0.20,0.69,0.69,4
Macadamia spp.,Macadamia,cv. “A4”,0.82,0.20,0.82,0.82,3
Macadamia integrifolia,Macadamia,cv. “741”,0.97,NA,0.97,0.97,1
Macadamia integrifolia,Macadamia,cv. “A268”,1.00,NA,1.00,1.00,1
Malpighia emarginata,Acerola cherry,cv. “Flor Branca”,0.66,NA,0.66,0.66,1
Malpighia emarginata,Acerola cherry,cv. “Okiwa”,0.74,NA,0.74,0.74,1
Malpighia emarginata,Acerola cherry,cv. “Sertaneja”,0.88,NA,0.88,0.88,1
Malus domestica,Apple,cv. “Amanda”,0.82,0.06,0.76,0.88,2
Malus domestica,Apple,cv. “Aport”,1.00,0.00,1.00,1.00,3
Malus domestica,Apple,cv. “Aroma”,0.52,0.05,0.27,1.00,18
Malus domestica,Apple,cv. “Boskoop”,1.00,NA,1.00,1.00,1
Malus domestica,Apple,cv. “Braeburn”,0.76,0.04,0.36,1.00,22
